month,fuel,energy_MWh,year
2017-05,distillate,0.192,2017
2017-05,gas,626860.197,2017
2017-05,solar,1577.083,2017
2017-05,wind,99246.984,2017
2017-06,bio,10670.925,2017
2017-06,coal,701689.011,2017
2017-06,distillate,98.68,2017
2017-06,gas,692381.036,2017
2017-06,solar,1462.488,2017
2017-06,wind,111613.053,2017
2017-07,bio,11884.802,2017
2017-07,coal,798788.517,2017
2017-07,distillate,226.246,2017
2017-07,gas,716788.105,2017
2017-07,solar,1246.079,2017
2017-07,wind,116496.76800000001,2017
2017-08,bio,11965.621,2017
2017-08,coal,822403.314,2017
2017-08,distillate,12.448,2017
2017-08,gas,665006.694,2017
2017-08,solar,1571.5,2017
2017-08,wind,115082.168,2017
2017-09,bio,11417.109,2017
2017-09,coal,656313.51,2017
2017-09,distillate,226.44,2017
2017-09,gas,647397.868,2017
2017-09,solar,1647.223,2017
2017-09,wind,104964.91299999999,2017
2017-10,bio,12076.881,2017
2017-10,coal,579796.477,2017
2017-10,distillate,33.749,2017
2017-10,gas,668414.125,2017
2017-10,solar,2088.359,2017
2017-10,wind,136331.44700000001,2017
2017-11,bio,11243.396,2017
2017-11,coal,779871.079,2017
2017-11,distillate,86.119,2017
2017-11,gas,513452.521,2017
2017-11,solar,2046.384,2017
2017-11,wind,135083.737,2017
2017-12,bio,11466.422999999999,2017
2017-12,coal,791971.617,2017
2017-12,distillate,116.612,2017
2017-12,gas,541713.291,2017
