event,start,end,duration_days,mean_intensity_c,max_intensity_c,peak_date,severity_ratio,category
94,2023-11-20,2023-11-27,8,1.4827074239219273,1.7159301636139297,2023-11-22,1.4484075701483339,I Moderate
95,2024-06-11,2024-06-18,8,1.0147397981667514,1.122014630706854,2024-06-14,1.3482310738018581,I Moderate
96,2024-09-13,2024-11-08,57,1.3776798551351703,1.9740352226655773,2024-11-02,2.1981675620850214,II Strong
97,2024-11-13,2025-02-14,94,2.6110704751185994,3.799225626419755,2025-01-02,2.4957086206295673,II Strong
98,2025-02-24,2025-04-06,42,1.901105912948323,2.902366568914953,2025-03-03,2.2216585033591203,II Strong
99,2025-04-22,2025-04-26,5,1.1451449609794389,1.2469594090027734,2025-04-23,1.2278461478354759,I Moderate
100,2025-05-01,2025-06-12,43,1.4306488880044137,2.165388378763847,2025-05-12,2.5242116383262023,II Strong
101,2025-08-17,2025-08-26,10,0.9918280643558823,1.1386950627373658,2025-08-23,1.4484443377411271,I Moderate
102,2025-09-21,2025-10-07,17,1.1477460925238328,1.3796766181113114,2025-10-04,1.648489546683052,I Moderate
103,2025-12-17,2025-12-25,9,1.672491325096087,1.905210391831055,2025-12-20,1.4622049389997867,I Moderate
