year,regime,facility,parent,sector,covered_t,baseline_t,headroom_t,accus_surrendered,smcs_surrendered,smcs_issued,above_baseline
2018,original,NKS01 Nickel West Kalgoorlie Facility,BHP,Alumina and metals,161434.0,166573.0,5139.0,0.0,0.0,0.0,False
2018,original,Pinjarra Alumina Refinery,Alcoa,Alumina and metals,1514832.0,1550868.0,36036.0,0.0,0.0,0.0,False
2018,original,Pluto LNG,Woodside,LNG / oil and gas,1747412.0,2385534.0,638122.0,0.0,0.0,0.0,False
2018,original,South West Synthetic Rutile Operations,Other,Metal ore mining,219421.0,323579.0,104158.0,0.0,0.0,0.0,False
2018,original,Sunrise Dam,Other,Metal ore mining,147500.0,146375.0,-1125.0,1125.0,0.0,0.0,True
2018,original,Telfer Gold Mine,Other,Metal ore mining,543934.0,632775.0,88841.0,0.0,0.0,0.0,False
2018,original,Varanus Hub,Other,LNG / oil and gas,268850.0,620263.0,351413.0,0.0,0.0,0.0,False
2018,original,YAN01 Yandi/Marillana Creek Mine - MNG Facility,BHP,Metal ore mining,198278.0,195783.0,-2495.0,2495.0,0.0,0.0,True
2018,original,YPF AMMONIA PLANT,Yara,Other manufacturing,992241.0,1623773.0,631532.0,0.0,0.0,0.0,False
2019,original,FLNG,Shell,LNG / oil and gas,1715913.0,2725687.0,1009774.0,0.0,0.0,0.0,False
2019,original,APU01 Pyrenees - AOA Facility,BHP,LNG / oil and gas,272811.0,588383.0,315572.0,0.0,0.0,0.0,False
2019,original,ARC01 Mining Area C - MNG Facility,BHP,Metal ore mining,419809.0,,,0.0,0.0,0.0,False
2019,original,ATCO Gas Australia Pty Ltd,Other,Other,107412.0,159142.0,51730.0,0.0,0.0,0.0,False
2019,original,AWR Rail Freight WA,Other,Other,119792.0,216451.0,96659.0,0.0,0.0,0.0,False
2019,original,Brockman 2 / Nammuldi Mines,Rio Tinto,Metal ore mining,268256.0,316854.0,48598.0,0.0,0.0,0.0,False
2019,original,Brockman 4 Mine,Rio Tinto,Metal ore mining,152565.0,144745.0,-7820.0,7820.0,0.0,0.0,True
2019,original,Chandala Processing Plant,Other,Other manufacturing,272417.0,374904.0,102487.0,0.0,0.0,0.0,False
2019,original,Christmas Creek Mine,Fortescue,Metal ore mining,546522.0,556084.0,9562.0,0.0,0.0,0.0,False
2019,original,Cloudbreak Mine,Fortescue,Metal ore mining,419050.0,503395.0,84345.0,0.0,0.0,0.0,False
2019,original,Cockburn Operations,Other,Other manufacturing,979493.0,1839661.0,860168.0,0.0,0.0,0.0,False
