station,station_name,water_year,total_ML,baseline_ML,anom_pct
616002,Darkin River - Pine Plantation,2016,225.41760000003296,3506.836050679745,-93.5720519367782
616002,Darkin River - Pine Plantation,2017,822.0960000000831,3506.836050679745,-76.55733007989545
616002,Darkin River - Pine Plantation,2018,3383.942400001318,3506.836050679745,-3.504402512760918
616002,Darkin River - Pine Plantation,2019,499.0463999997791,3506.836050679745,-85.76932617357326
616002,Darkin River - Pine Plantation,2020,3.8880000000033115,3506.836050679745,-99.88913083064577
616002,Darkin River - Pine Plantation,2021,5451.840000000779,3506.836050679745,55.46321302770985
616002,Darkin River - Pine Plantation,2022,2809.468799999245,3506.836050679745,-19.885938224723276
616006,Brockman River - Tanamerah,1981,40603.65273198702,25124.245261414937,61.61143273961305
616006,Brockman River - Tanamerah,1982,11837.774691928356,25124.245261414937,-52.88306347610586
616006,Brockman River - Tanamerah,1983,34849.57853589919,25124.245261414937,38.70895691907661
616006,Brockman River - Tanamerah,1984,17281.57679302797,25124.245261414937,-31.215538563586243
616006,Brockman River - Tanamerah,1985,3846.0433763370606,25124.245261414937,-84.69190482611751
616006,Brockman River - Tanamerah,1986,22943.459308424466,25124.245261414937,-8.680005828233405
616006,Brockman River - Tanamerah,1987,22417.353269329327,25124.245261414937,-10.774023115602894
616006,Brockman River - Tanamerah,1988,26532.973069047715,25124.245261414937,5.607045278276512
616006,Brockman River - Tanamerah,1989,11176.189219533922,25124.245261414937,-55.5163185868991
616006,Brockman River - Tanamerah,1990,11993.213148873254,25124.245261414937,-52.26438436623578
616006,Brockman River - Tanamerah,1991,29112.871282471275,25124.245261414937,15.875605334827503
616006,Brockman River - Tanamerah,1992,29942.942019477225,25124.245261414937,19.179468708111603
616006,Brockman River - Tanamerah,1993,24466.566100552784,25124.245261414937,-2.617707135156
616006,Brockman River - Tanamerah,1994,13365.892840646353,25124.245261414937,-46.80081848598536
616006,Brockman River - Tanamerah,1995,56342.68212543682,25124.245261414937,124.25621760652933
616006,Brockman River - Tanamerah,1996,32693.485565004725,25124.245261414937,30.12723456896993
616006,Brockman River - Tanamerah,1997,12642.875048695152,25124.245261414937,-49.67858768632664
616006,Brockman River - Tanamerah,1998,20227.3040374115,25124.245261414937,-19.49089882323356
616006,Brockman River - Tanamerah,1999,55084.22680279965,25124.245261414937,119.24728973807763
616006,Brockman River - Tanamerah,2000,17709.702170551638,25124.245261414937,-29.51150577347027
616006,Brockman River - Tanamerah,2001,9421.782400030535,25124.245261414937,-62.499242058824244
616006,Brockman River - Tanamerah,2002,8715.699537242572,25124.245261414937,-65.30960653123427
616006,Brockman River - Tanamerah,2003,26540.49010392953,25124.245261414937,5.6369647238303955
616006,Brockman River - Tanamerah,2004,12100.78451012869,25124.245261414937,-51.83622678324705
616006,Brockman River - Tanamerah,2005,28217.3937017122,25124.245261414937,12.31140839501208
616006,Brockman River - Tanamerah,2006,5572.196513005133,25124.245261414937,-77.8214372012888
616006,Brockman River - Tanamerah,2007,6922.584308227009,25124.245261414937,-72.44659795270147
616006,Brockman River - Tanamerah,2008,9727.907165433799,25124.245261414937,-61.28079843109306
616006,Brockman River - Tanamerah,2009,20997.58410616177,25124.245261414937,-16.42501540768976
616006,Brockman River - Tanamerah,2010,3724.2155696153504,25124.245261414937,-85.17680618515976
616006,Brockman River - Tanamerah,2011,10886.912980595249,25124.245261414937,-56.6677013883675
616006,Brockman River - Tanamerah,2012,4670.584340557885,25124.245261414937,-81.41005115990158
616006,Brockman River - Tanamerah,2013,13520.985686793363,25124.245261414937,-46.18351498280234
616006,Brockman River - Tanamerah,2014,17216.34275467665,25124.245261414937,-31.475184326762662
616006,Brockman River - Tanamerah,2015,6317.419798807044,25124.245261414937,-74.85528527096037
616006,Brockman River - Tanamerah,2016,28426.57479849141,25124.245261414937,13.143994984590002
616006,Brockman River - Tanamerah,2017,22839.534036542653,25124.245261414937,-9.093651176782114
616006,Brockman River - Tanamerah,2018,39940.023630836746,25124.245261414937,58.970043538682674
616006,Brockman River - Tanamerah,2019,11401.795243196211,25124.245261414937,-54.618357190188924
616006,Brockman River - Tanamerah,2020,6089.731199998456,25124.245261414937,-75.76153577297352
616006,Brockman River - Tanamerah,2021,38820.81599999914,25124.245261414937,54.51535198798185
616006,Brockman River - Tanamerah,2022,31922.3808000146,25124.245261414937,27.058068681728862
616013,Helena River - Ngangaguringuring,1972,759.9788981509433,1837.3622757971807,-58.63750398264765
616013,Helena River - Ngangaguringuring,1973,2813.529599999813,1837.3622757971807,53.12873443965209
616013,Helena River - Ngangaguringuring,1974,8100.60479999677,1837.3622757971807,340.88228580191907
616013,Helena River - Ngangaguringuring,1975,2572.387199999498,1837.3622757971807,40.004354823460744
616013,Helena River - Ngangaguringuring,1976,676.5984000000989,1837.3622757971807,-63.17555830373509
616013,Helena River - Ngangaguringuring,1977,563.0688000000033,1837.3622757971807,-69.35450306033395
616013,Helena River - Ngangaguringuring,1978,1806.3114419198687,1837.3622757971807,-1.6899679658351485
616013,Helena River - Ngangaguringuring,1979,551.8367999999994,1837.3622757971807,-69.96581418541574
616013,Helena River - Ngangaguringuring,1980,562.5504000001113,1837.3622757971807,-69.38271741994724
616013,Helena River - Ngangaguringuring,1981,5750.006399999738,1837.3622757971807,212.94897450231852
616013,Helena River - Ngangaguringuring,1982,1016.0171940462106,1837.3622757971807,-44.7024026001955
616013,Helena River - Ngangaguringuring,1983,4256.438658966367,1837.3622757971807,131.66028360518158
616013,Helena River - Ngangaguringuring,1984,1038.2687999997827,1837.3622757971807,-43.491340076125894
616013,Helena River - Ngangaguringuring,1985,844.5600000000368,1837.3622757971807,-54.034105787134145
616013,Helena River - Ngangaguringuring,1986,2208.9887999997477,1837.3622757971807,20.226088730450755
616013,Helena River - Ngangaguringuring,1987,862.099200000044,1837.3622757971807,-53.07951995335254
616013,Helena River - Ngangaguringuring,1988,1948.2335999998108,1837.3622757971807,6.034265842022157
616013,Helena River - Ngangaguringuring,1989,879.9839999999579,1837.3622757971807,-52.10612454649657
616013,Helena River - Ngangaguringuring,1990,1510.4448000003747,1837.3622757971807,-17.792760856318633
616013,Helena River - Ngangaguringuring,1991,1893.369599999975,1837.3622757971807,3.0482461156711382
616013,Helena River - Ngangaguringuring,1992,1829.9519999993522,1837.3622757971807,-0.4033105444386731
616013,Helena River - Ngangaguringuring,1993,780.0191999999861,1837.3622757971807,-57.54679355972097
616013,Helena River - Ngangaguringuring,1994,793.3247999999364,1837.3622757971807,-56.8226249961655
616013,Helena River - Ngangaguringuring,1995,2635.8047999997934,1837.3622757971807,43.455911483552725
616013,Helena River - Ngangaguringuring,1996,5868.374399998062,1837.3622757971807,219.39125328193302
616013,Helena River - Ngangaguringuring,1997,1165.9680000001651,1837.3622757971807,-36.54120282325466
616013,Helena River - Ngangaguringuring,1998,1307.3183999998573,1837.3622757971807,-28.84808743378341
616013,Helena River - Ngangaguringuring,1999,2612.1312000007447,1837.3622757971807,42.16745572766336
616013,Helena River - Ngangaguringuring,2000,1641.4272000003746,1837.3622757971807,-10.663932659213614
616013,Helena River - Ngangaguringuring,2001,809.0496000000662,1837.3622757971807,-55.96678942104425
616013,Helena River - Ngangaguringuring,2002,762.825599999911,1837.3622757971807,-58.48256982042683
616013,Helena River - Ngangaguringuring,2003,1765.9295999999556,1837.3622757971807,-3.8877839573707607
616013,Helena River - Ngangaguringuring,2004,1037.7504000001911,1837.3622757971807,-43.51955443572282
616013,Helena River - Ngangaguringuring,2005,1751.1551999999301,1837.3622757971807,-4.691893206517895
616013,Helena River - Ngangaguringuring,2006,855.1007999999453,1837.3622757971807,-53.46041380821642
616013,Helena River - Ngangaguringuring,2007,1191.1104000000255,1837.3622757971807,-35.17280638173354
616013,Helena River - Ngangaguringuring,2008,1199.577600000076,1837.3622757971807,-34.71197184128467
616013,Helena River - Ngangaguringuring,2009,1681.171200000576,1837.3622757971807,-8.500831755067884
616013,Helena River - Ngangaguringuring,2010,386.89919999999233,1837.3622757971807,-78.94268293757541
616013,Helena River - Ngangaguringuring,2011,601.3440000000217,1837.3622757971807,-67.27134284178578
616013,Helena River - Ngangaguringuring,2012,338.2560000000057,1837.3622757971807,-81.59013034850486
616013,Helena River - Ngangaguringuring,2013,587.1744000000356,1837.3622757971807,-68.04253533804176
616013,Helena River - Ngangaguringuring,2014,454.72320000004925,1837.3622757971807,-75.25130422073364
616013,Helena River - Ngangaguringuring,2015,298.7627926347616,1837.3622757971807,-83.73958165081316
616013,Helena River - Ngangaguringuring,2016,540.3690220773406,1837.3622757971807,-70.58995772388495
