site,season,days_vh,days_sev,ffdi_p99,ffdi_sum,season_span,n_days
margaret_river,1958,0,0,15.115129999999985,1264.8480000000002,0,212
margaret_river,1959,0,0,11.97392,1071.454,0,213
margaret_river,1960,0,0,19.154509999999977,1331.2199999999998,0,212
margaret_river,1961,0,0,14.56669999999999,1318.393,0,212
margaret_river,1962,0,0,12.370709999999978,943.3939999999999,0,212
margaret_river,1963,0,0,11.803439999999998,1212.638,0,213
margaret_river,1964,0,0,17.156469999999995,1062.7869999999998,0,212
margaret_river,1965,0,0,13.556399999999993,988.838,0,212
margaret_river,1966,0,0,16.702759999999998,1344.487,0,212
margaret_river,1967,0,0,13.962919999999999,963.003,0,213
margaret_river,1968,0,0,16.377959999999966,1058.777,0,212
margaret_river,1969,0,0,18.71758999999999,1158.7089999999998,0,212
margaret_river,1970,0,0,14.912699999999964,1135.4319999999998,0,212
margaret_river,1971,1,0,20.228759999999998,1236.43,1,213
margaret_river,1972,0,0,14.685489999999994,1267.929,0,212
margaret_river,1973,0,0,13.79462,1240.868,0,212
margaret_river,1974,0,0,14.769529999999996,1103.0189999999998,0,212
margaret_river,1975,0,0,14.703839999999998,1217.2079999999996,0,213
margaret_river,1976,0,0,13.996139999999968,1169.178,0,212
margaret_river,1977,0,0,15.203059999999999,1202.345,0,212
margaret_river,1978,0,0,16.546089999999992,1289.7649999999999,0,212
margaret_river,1979,0,0,13.2258,1047.775,0,213
margaret_river,1980,0,0,13.22214999999999,1023.629,0,212
margaret_river,1981,0,0,7.145449999999998,647.0120000000001,0,212
margaret_river,1982,0,0,14.332949999999997,1115.533,0,212
margaret_river,1983,0,0,15.053919999999994,1224.6599999999999,0,213
margaret_river,1984,0,0,14.010179999999991,983.8820000000001,0,212
margaret_river,1985,0,0,13.568299999999997,1060.052,0,212
margaret_river,1986,0,0,13.142679999999997,1090.312,0,212
margaret_river,1987,0,0,20.177399999999995,1323.002,0,213
margaret_river,1988,1,0,15.803639999999998,1158.6979999999999,1,212
margaret_river,1989,0,0,13.447099999999987,1037.5089999999998,0,212
margaret_river,1990,0,0,13.285049999999979,1038.6439999999998,0,212
margaret_river,1991,0,0,16.333879999999986,1005.639,0,213
margaret_river,1992,0,0,12.018249999999986,984.9630000000001,0,212
margaret_river,1993,0,0,15.440259999999993,1271.6730000000002,0,212
margaret_river,1994,0,0,13.985809999999994,1434.1860000000001,0,212
margaret_river,1995,0,0,14.133119999999996,1120.859,0,213
margaret_river,1996,0,0,10.119369999999998,895.6899999999998,0,212
margaret_river,1997,0,0,15.372399999999958,1129.5529999999999,0,212
margaret_river,1998,0,0,13.46684999999999,1193.628,0,212
margaret_river,1999,0,0,12.801319999999999,1087.6909999999998,0,213
margaret_river,2000,0,0,14.65206999999999,1275.498,0,212
margaret_river,2001,0,0,13.422559999999992,1154.111,0,212
margaret_river,2002,0,0,12.715569999999992,1069.83,0,212
margaret_river,2003,0,0,12.703799999999994,1079.547,0,213
margaret_river,2004,0,0,14.145719999999994,1098.57,0,212
margaret_river,2005,0,0,15.125609999999975,905.6650000000001,0,212
margaret_river,2006,0,0,16.75349999999997,1194.4160000000002,0,212
margaret_river,2007,0,0,16.290799999999994,1170.345,0,213
margaret_river,2008,0,0,15.05398999999998,1080.4450000000002,0,212
margaret_river,2009,0,0,18.519709999999968,1145.248,0,212
margaret_river,2010,0,0,16.042769999999987,1375.083,0,212
margaret_river,2011,1,0,18.96687999999999,1360.976,1,213
