sid,season,name,n_obs,min_dist_wa_km,peak_bom_wind_kt,min_bom_pres_hpa,peak_usa_wind_kt,min_usa_pres_hpa,peak_usa_sshs,peak_wmo_wind_kt,min_wmo_pres_hpa,date_peak,lat_peak,lon_peak,wa_affecting,decade
2007082S16125,2007,Kara,55,11.11950802335366,105.0,941.0,105.0,944.0,3,105.0,941.0,2007-03-27 03:00:00,-18.7,117.3,True,2005-14
2007360S10116,2008,Melanie,59,331.68675509133953,60.0,962.0,60.0,978.0,0,60.0,962.0,2007-12-29 06:00:00,-17.3,116.8,True,2005-14
2007365S15134,2008,Helen,61,123.35429393533605,50.0,975.0,50.0,985.0,0,50.0,975.0,2008-01-04 09:00:00,-13.2,129.4,True,2005-14
2008042S16122,2008,Nicholas,81,17.422408237521747,80.0,948.0,80.0,963.0,1,80.0,948.0,2008-02-16 06:00:00,-17.1,118.0,True,2005-14
2008058S15131,2008,Ophelia,79,10.745626477416423,55.0,985.0,65.0,974.0,1,55.0,985.0,2008-03-02 06:00:00,-16.6,120.6,True,2005-14
2008083S12102,2008,Pancho,57,180.65210058844985,95.0,934.0,100.0,948.0,3,95.0,934.0,2008-03-27 00:00:00,-19.3,105.9,True,2005-14
2008356S14138,2009,Unnamed,33,396.71981843469104,30.0,998.0,,,-5,30.0,998.0,2008-12-22 00:00:00,-14.7,137.1,True,2005-14
2008351S11128,2009,Billy,153,24.66259274276416,95.0,950.0,110.0,941.0,3,95.0,950.0,2008-12-24 18:00:00,-17.6,117.9,True,2005-14
2009024S17123,2009,Dominic,35,10.857714800766676,55.0,976.0,50.0,985.0,0,55.0,976.0,2009-01-26 12:00:00,-20.8,115.3,True,2005-14
2009034S16126,2009,Freddy,99,70.08376847103409,45.0,992.0,55.0,982.0,0,45.0,992.0,2009-02-08 00:00:00,-16.0,110.3,True,2005-14
2009074S10129,2009,Ilsa,93,358.31572946725345,90.0,958.0,100.0,948.0,3,90.0,958.0,2009-03-19 12:00:00,-16.3,106.9,True,2005-14
2009342S09140,2010,Laurence,127,24.7261133479923,110.0,925.0,130.0,926.0,4,110.0,925.0,2009-12-15 21:00:00,-15.2,124.4,True,2005-14
2010019S11123,2010,Magda,47,143.52541366291948,70.0,975.0,65.0,974.0,1,70.0,975.0,2010-01-21 21:00:00,-15.6,124.5,True,2005-14
2010349S18109,2011,Unnamed,41,13.342271810683803,30.0,991.0,,,-5,30.0,991.0,2010-12-15 06:00:00,-18.2,109.0,True,2005-14
2010363S15133,2011,Unnamed,57,35.020019225791955,30.0,993.0,,,-5,30.0,993.0,2011-01-01 06:00:00,-19.2,115.8,True,2005-14
2011021S16129,2011,Bianca,75,34.09363650807714,95.0,949.0,95.0,952.0,2,95.0,949.0,2011-01-28 00:00:00,-22.8,110.2,True,2005-14
2011045S17119,2011,Dianne,73,297.3230403137088,75.0,960.0,80.0,963.0,1,75.0,960.0,2011-02-19 12:00:00,-22.7,107.7,True,2005-14
2011045S14132,2011,Carlos,106,6.842845642610451,65.0,969.0,65.0,974.0,1,65.0,969.0,2011-02-24 18:00:00,-25.4,107.6,True,2005-14
2011088S10133,2011,Unnamed,57,15.464975039374753,40.0,994.0,35.0,996.0,0,40.0,994.0,2011-04-02 06:00:00,-13.8,127.1,True,2005-14
2011103S12126,2011,Errol,45,94.69456294241806,65.0,985.0,55.0,982.0,0,65.0,985.0,2011-04-16 00:00:00,-11.7,125.1,True,2005-14
2012009S12118,2012,Heidi,41,9.45131268517711,80.0,960.0,65.0,974.0,1,80.0,960.0,2012-01-11 18:00:00,-20.1,118.7,True,2005-14
2012024S15116,2012,Iggy,85,68.47302808931342,60.0,974.0,70.0,970.0,1,60.0,974.0,2012-01-31 12:00:00,-23.9,108.2,True,2005-14
2012071S10132,2012,Unnamed,85,165.54542772811743,30.0,993.0,,,-5,30.0,993.0,2012-03-13 12:00:00,-13.1,128.1,True,2005-14
2012070S17112,2012,Lua,68,149.13415709949157,85.0,935.0,95.0,952.0,2,85.0,935.0,2012-03-16 18:00:00,-17.7,118.9,True,2005-14
2012127S05127,2012,Unnamed,27,498.9844262147561,,,30.0,1000.0,-1,,,2012-05-06 12:00:00,-5.8,127.0,True,2005-14
2012362S13116,2013,Mitchell,43,380.28791682231673,45.0,988.0,45.0,989.0,0,45.0,988.0,2012-12-29 06:00:00,-18.0,110.6,True,2005-14
