#,"Australian Bureau of Meteorology"
#,"Hydrologic Reference Stations"
#
#,"Dataset version: August, 2024"
#
#,"Daily streamflow (ML/day) and quality code"
#,"Quality code values are defined as:"
#,"  Best available data: A"
#,"  Good data: B"
#,"  Poor data: C"
#,"  Unreliable data: E"
#,"  Gap filled data: G"
#,"For detailed quality code mapping, see the report 'Streamflow quality codes for Hydrologic Reference Stations' at http://www.bom.gov.au/water/hrs/qc_doc.shtml"
#
#,"Murray River - Baden Powell (614006)"
#,"Catchment area:", 6772.9,"km^2"
#,"Location:", 116.0843,"degrees E", 32.7722,"degrees S"
#,"Source used:",WISKI (validated data only)
#,"Extraction method:",daily discharge total (cubic metres), reported at 9am local time for the previous 24 hours.
#,"Data gaps were in filled by using daily rainfall-runoff model"
#,"Data extraction date:",14/06/2024
#
#,"For more information see http://www.bom.gov.au/water/hrs"
#
#,"For copyright and licence information see http://www.bom.gov.au/water/hrs/copyright.shtml"
#
Date,Flow (ML),Bureau QCode
1965-07-07,5562.345600001341,A
1965-07-08,5656.694399997301,A
1965-07-09,5100.623999999081,A
1965-07-10,3994.0128000026307,A
1965-07-11,3481.574400000812,A
1965-07-12,3265.401600000283,A
1965-07-13,3579.1199999987753,A
1965-07-14,3108.1536000002425,A
1965-07-15,2572.041600002081,A
1965-07-16,2105.827200001949,A
1965-07-17,1820.44800000254,A
1965-07-18,1638.8352000002321,A
1965-07-19,1532.908800003242,A
1965-07-20,1679.5296000019316,A
1965-07-21,1751.9328000028133,A
1965-07-22,2252.793599996828,A
1965-07-23,2557.9583999981996,A
1965-07-24,2324.419200002897,A
1965-07-25,1873.065600001459,A
1965-07-26,1584.7488000005756,A
1965-07-27,1362.6144000014356,A
1965-07-28,1201.5648000026754,A
1965-07-29,1102.2911999966739,A
1965-07-30,1032.9984000021343,A
1965-07-31,974.3328000021718,A
1965-08-01,949.6223999969409,A
1965-08-02,958.6944000018925,A
1965-08-03,1067.471999997923,A
1965-08-04,1089.2448000016796,A
1965-08-05,1175.2127999986124,A
1965-08-06,1170.201599999683,A
1965-08-07,1057.881599998687,A
1965-08-08,970.531199996678,A
1965-08-09,868.320000002748,A
1965-08-10,813.7152000020347,A
1965-08-11,768.3551999975949,A
1965-08-12,793.9296000000724,A
1965-08-13,895.4496000016236,A
1965-08-14,1181.606400002618,A
1965-08-15,1112.3999999969667,A
1965-08-16,930.4415999984692,A
1965-08-17,895.6223999997181,A
1965-08-18,933.8976000010006,A
1965-08-19,961.2864000004046,A
1965-08-20,1263.3408000022068,A
1965-08-21,1636.5024000022486,A
1965-08-22,1939.593599999392,A
1965-08-23,2142.8928000030223,A
1965-08-24,3876.767999998366,A
1965-08-25,5973.264000001608,A
1965-08-26,7363.6992000010705,A
1965-08-27,10057.219200018306,A
1965-08-28,8413.891199986336,A
1965-08-29,6393.859199996771,A
1965-08-30,4605.638400001243,A
1965-08-31,3803.6735999983334,A
1965-09-01,3407.4431999986655,A
1965-09-02,3998.937599999126,A
1965-09-03,4421.174399999894,A
1965-09-04,3436.041599998278,A
1965-09-05,2767.0464000023458,A
1965-09-06,2531.0879999998524,A
1965-09-07,2636.755200003087,A
1965-09-08,2707.689600003231,A
1965-09-09,2217.542399999454,A
1965-09-10,1927.2383999967763,A
1965-09-11,1722.8160000021435,A
1965-09-12,1601.5103999986297,A
1965-09-13,1524.009600003158,A
1965-09-14,1483.3152000014582,A
1965-09-15,1430.4384000020107,A
1965-09-16,1315.3535999976352,A
1965-09-17,1429.2288000018018,A
1965-09-18,1625.4432000022755,A
1965-09-19,1448.5823999983684,A
1965-09-20,1274.0543999992176,A
1965-09-21,1142.8992000027126,A
1965-09-22,1087.7760000009423,A
1965-09-23,1089.1583999992458,A
1965-09-24,1064.188800000259,A
1965-09-25,1049.6735999977548,A
1965-09-26,1238.7167999994097,A
1965-09-27,1337.039999998958,A
1965-09-28,1431.7343999978802,A
1965-09-29,1339.3727999969417,A
1965-09-30,1221.17759999977,A
1965-10-01,1091.2319999967008,A
1965-10-02,941.7599999989707,A
1965-10-03,858.0383999975877,A
1965-10-04,1019.6063999974049,A
1965-10-05,1294.0992000017086,A
1965-10-06,1911.2544000003077,A
1965-10-07,2840.3136000004733,A
1965-10-08,3927.0527999993014,A
1965-10-09,4367.088000000238,A
1965-10-10,3659.817600003023,A
